Date,Product,Region,Order_ID,Discount,Shipping_Cost
2024-01-05,Widget A,North,Ord001,10.0,15.5
2024-01-12,Widget B,South,Ord002,5.0,12.0
2024-01-20,Gadget X,East,Ord003,15.0,18.75
2024-02-03,Widget A,West,Ord004,0.0,20.0
2024-02-14,Gadget Y,North,Ord005,20.0,14.3
2024-02-28,Widget B,East,Ord006,8.0,16.0
2024-03-05,Gadget X,South,Ord007,12.0,22.5
2024-03-15,Widget A,North,Ord008,0.0,11.0
2024-03-22,Gadget Y,West,Ord009,25.0,19.8
2024-04-01,Widget B,East,Ord010,10.0,17.5
2024-04-10,Gadget X,South,Ord011,5.0,13.0
2024-04-18,Widget A,North,Ord012,15.0,21.0
2024-05-02,Gadget Y,West,Ord013,,16.75
2024-05-11,Widget B,,Ord014,8.0,14.5
2024-05-20,Widget A,North,Ord015,0.0,18.0
