Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode
B-25681,744,113,7.0,Electronics,Electronic Games,Cod
B-26055,744,64,9.5,Furniture,Chairs,Emi
B-25955,744,113,8.0,Furniture,Bookcases,Emi
B-26093,744,113,8.0,Electronics,Printers,Credit Card
B-25602,744,113,4.0,Electronics,Phones,Credit Card
B-25881,744,113,4.0,Clothing,Trousers,Credit Card
B-25696,275,-87,4.0,Clothing,Saree,Cod
B-25687,387,-87,5.0,Clothing,Saree,Upi
B-25643,50,-44,2.0,Clothing,Hankerchief,Upi
B-25851,135,-54,5.0,Clothing,Kurti,Cod
B-25703,231,-87,9.0,Clothing,Hankerchief,Cod
B-25887,744,-87,6.0,Electronics,Printers,Emi
B-25923,744,-87,6.0,Electronics,Phones,Credit Card
B-25756,729,-87,5.0,Furniture,Bookcases,Upi
B-25761,744,113,5.0,Furniture,Bookcases,Credit Card
B-25655,6,-3,1.0,Clothing,Hankerchief,Upi
B-25786,744,113,5.0,Furniture,Bookcases,Credit Card
B-26095,6,1,1.0,Clothing,Kurti,Upi
B-25853,744,113,5.0,Furniture,Chairs,Credit Card
B-25735,7,-1,2.0,Clothing,Skirt,Upi
B-25910,744,-87,5.0,Furniture,Tables,Credit Card
B-25950,744,95,5.0,Electronics,Printers,Credit Card
B-25744,373,113,6.0,Electronics,Printers,Upi
B-25845,82,-33,4.0,Clothing,Kurti,Cod
B-26001,8,2,2.0,Clothing,Skirt,Upi
B-25830,744,113,3.0,Electronics,Phones,Credit Card
B-25842,744,113,8.0,Electronics,Printers,Credit Card
B-25778,744,-87,6.0,Electronics,Printers,Credit Card
B-25686,744,-56,6.0,Furniture,Tables,Credit Card
B-25754,9,-1,3.0,Clothing,Skirt,Upi
B-26048,744,113,5.0,Furniture,Tables,Emi
B-25816,391,113,8.0,Clothing,Stole,Cod
B-26022,744,113,8.0,Electronics,Phones,Credit Card
B-25883,16,-15,4.0,Clothing,Hankerchief,Upi
B-26003,744,113,2.0,Furniture,Tables,Credit Card
B-26097,663,-87,5.0,Electronics,Printers,Upi
B-25710,10,-1,1.0,Clothing,Leggings,Upi
B-25797,744,113,5.0,Furniture,Tables,Emi
B-25618,12,0,2.0,Clothing,Hankerchief,Upi
B-25723,12,-7,2.0,Clothing,Leggings,Upi
B-25755,744,113,3.0,Clothing,Trousers,Credit Card
B-25788,12,3,1.0,Clothing,Stole,Upi
B-25681,744,-77,3.0,Electronics,Phones,Emi
B-25991,13,5,2.0,Clothing,Hankerchief,Upi
B-25779,744,113,3.0,Furniture,Tables,Cod
B-25909,744,-87,3.0,Electronics,Phones,Emi
B-25943,744,113,6.0,Electronics,Accessories,Emi
B-25935,744,113,4.0,Furniture,Chairs,Credit Card
B-25613,744,0,9.0,Clothing,Saree,Credit Card
B-25729,744,-87,4.0,Electronics,Phones,Credit Card
B-25772,744,106,4.0,Electronics,Printers,Emi
B-25655,74,-87,8.0,Clothing,Skirt,Upi
B-25640,744,113,9.5,Clothing,Saree,Credit Card
B-25810,744,113,6.0,Clothing,Saree,Emi
B-25801,15,-2,1.0,Clothing,T-Shirt,Debit Card
B-26085,744,113,3.0,Clothing,Trousers,Credit Card
B-25868,744,113,2.0,Furniture,Tables,Credit Card
B-25714,11,-5,2.0,Clothing,Hankerchief,Cod
B-25784,15,4,1.0,Clothing,Hankerchief,Debit Card
B-25608,744,113,5.0,Furniture,Tables,Credit Card
B-26051,744,113,7.0,Electronics,Printers,Credit Card
B-25900,15,2,1.0,Clothing,Leggings,Debit Card
B-25760,322,-87,5.0,Electronics,Printers,Upi
B-25762,744,113,7.0,Electronics,Electronic Games,Credit Card
B-25995,744,113,3.0,Furniture,Bookcases,Credit Card
B-25965,17,7,3.0,Clothing,Hankerchief,Debit Card
B-25967,17,2,2.0,Clothing,Skirt,Debit Card
B-25674,17,-12,5.0,Clothing,Skirt,Debit Card
B-25929,744,113,3.0,Furniture,Bookcases,Credit Card
B-25777,744,-38,4.0,Electronics,Printers,Credit Card
B-26006,744,113,5.0,Electronics,Accessories,Credit Card
B-25697,744,-16,8.0,Electronics,Printers,Credit Card
B-25667,11,-2,4.0,Clothing,Hankerchief,Cod
B-25836,744,65,9.0,Electronics,Printers,Emi
B-25984,304,97,6.0,Clothing,Stole,Upi
B-25728,744,113,4.0,Electronics,Printers,Emi
B-25757,17,-13,4.0,Clothing,Skirt,Debit Card
B-25957,147,73,3.0,Clothing,Stole,Cod
B-26061,744,-68,3.0,Electronics,Printers,Cod
B-25735,12,-2,3.0,Clothing,Hankerchief,Cod
B-25616,14,-2,3.0,Clothing,Hankerchief,Upi
B-25666,744,-87,7.0,Electronics,Electronic Games,Cod
B-25675,744,-87,9.0,Clothing,Saree,Cod
B-26079,18,3,2.0,Clothing,Hankerchief,Debit Card
B-25850,744,113,9.5,Electronics,Phones,Cod
